"INDICATOR";"FREQ";"AGE";"SEX";"LOCATION";"REF_AREA";"SCENARIO";"TIME_PERIOD";"OBS_VALUE"
"SM_POP_NETM";"A";"_T";"_T";"_T";"JOR";"M";"2015";"-80.0002"
"SM_POP_NETM";"A";"_T";"_T";"_T";"JOR";"M";"2020";"-10.0002"
"SM_POP_NETM";"A";"_T";"_T";"_T";"KAZ";"M";"1995";"-264.9968"
"SM_POP_NETM";"A";"_T";"_T";"_T";"KAZ";"M";"2000";"8.906"
"SM_POP_NETM";"A";"_T";"_T";"_T";"KAZ";"M";"2005";"-2.2594"
"SM_POP_NETM";"A";"_T";"_T";"_T";"KAZ";"M";"2010";"0"
"SM_POP_NETM";"A";"_T";"_T";"_T";"KAZ";"M";"2015";"0"
"SM_POP_NETM";"A";"_T";"_T";"_T";"KAZ";"M";"2020";"0"
"SM_POP_NETM";"A";"_T";"_T";"_T";"KGZ";"M";"1995";"-6.541"
"SM_POP_NETM";"A";"_T";"_T";"_T";"KGZ";"M";"2000";"-48.3934"
"SM_POP_NETM";"A";"_T";"_T";"_T";"KGZ";"M";"2005";"-25.6242"
"SM_POP_NETM";"A";"_T";"_T";"_T";"KGZ";"M";"2010";"-35.0006"
"SM_POP_NETM";"A";"_T";"_T";"_T";"KGZ";"M";"2015";"-15"
"SM_POP_NETM";"A";"_T";"_T";"_T";"KGZ";"M";"2020";"-15"
"SM_POP_NETM";"A";"_T";"_T";"_T";"KWT";"M";"1995";"25.1046"
"SM_POP_NETM";"A";"_T";"_T";"_T";"KWT";"M";"2000";"40.0348"
"SM_POP_NETM";"A";"_T";"_T";"_T";"KWT";"M";"2005";"89.79"
"SM_POP_NETM";"A";"_T";"_T";"_T";"KWT";"M";"2010";"59.9998"
"SM_POP_NETM";"A";"_T";"_T";"_T";"KWT";"M";"2015";"24.1714"
"SM_POP_NETM";"A";"_T";"_T";"_T";"KWT";"M";"2020";"22.9628"
"SM_POP_NETM";"A";"_T";"_T";"_T";"LBN";"M";"1995";"-5.8856"
"SM_POP_NETM";"A";"_T";"_T";"_T";"LBN";"M";"2000";"110.022"
"SM_POP_NETM";"A";"_T";"_T";"_T";"LBN";"M";"2005";"36.674"
"SM_POP_NETM";"A";"_T";"_T";"_T";"LBN";"M";"2010";"100.0002"
"SM_POP_NETM";"A";"_T";"_T";"_T";"LBN";"M";"2015";"-80.0004"
"SM_POP_NETM";"A";"_T";"_T";"_T";"LBN";"M";"2020";"-4"
"SM_POP_NETM";"A";"_T";"_T";"_T";"LBY";"M";"1995";"-4.134"
"SM_POP_NETM";"A";"_T";"_T";"_T";"LBY";"M";"2000";"-14.973"
"SM_POP_NETM";"A";"_T";"_T";"_T";"LBY";"M";"2005";"-17.7372"
"SM_POP_NETM";"A";"_T";"_T";"_T";"LBY";"M";"2010";"-47.7376"
"SM_POP_NETM";"A";"_T";"_T";"_T";"LBY";"M";"2015";"-1.9994"
"SM_POP_NETM";"A";"_T";"_T";"_T";"LBY";"M";"2020";"-1.9994"
"SM_POP_NETM";"A";"_T";"_T";"_T";"NER";"M";"1995";"4.8112"
"SM_POP_NETM";"A";"_T";"_T";"_T";"NER";"M";"2000";"-5.6994"
"SM_POP_NETM";"A";"_T";"_T";"_T";"NER";"M";"2005";"-5.6994"
"SM_POP_NETM";"A";"_T";"_T";"_T";"NER";"M";"2010";"-5.6994"
"SM_POP_NETM";"A";"_T";"_T";"_T";"NER";"M";"2015";"-5.6994"
"SM_POP_NETM";"A";"_T";"_T";"_T";"NER";"M";"2020";"-5.6994"
"SM_POP_NETM";"A";"_T";"_T";"_T";"OMN";"M";"1995";"-41.8486"
